country,name,1/1/2007,31/12/2007,1/1/2008,31/12/2008,1/1/2009,31/12/2009,1/1/2010,31/12/2010,1/1/2011,31/12/2011,1/1/2012,31/12/2012,1/1/2013,31/12/2013,1/1/2014,31/12/2014,1/1/2015,31/12/2015,1/1/2016,31/12/2016,1/1/2017,31/12/2017,1/1/2018,31/12/2018,1/1/2019,31/12/2019,1/1/2020,31/12/2020,1/1/2021,31/12/2021
chile,CHSMLCAP Index,1925.34,2489.26,2489.26,1620.53,1620.53,2782.47,2782.47,4698.76,4698.76,3975.17,3975.17,4322.19,4322.19,3578.6,3578.6,3585.03,3585.03,3263.13,3263.13,4867.76,4867.76,6766.5,6766.5,6590.5,6590.5,5296.73,5296.73,4250.67,4250.67,3345.36
china,SHSZ300 Index,2041.05,5338.28,5338.28,1817.72,1817.72,3575.68,3575.68,3128.26,3128.26,2345.74,2345.74,2522.95,2522.95,2330.03,2330.03,3533.71,3533.71,3731,3731,3310.08,3310.08,4030.86,4030.86,3010.65,3010.65,4096.58,4096.58,5211.29,5211.29,4940.37
china,SHCOMP Index,2675.47,5261.56,5261.56,1820.81,1820.81,3277.14,3277.14,2808.08,2808.08,2199.42,2199.42,2269.13,2269.13,2115.98,2115.98,3234.68,3234.68,3539.18,3539.18,3103.64,3103.64,3307.17,3307.17,2493.9,2493.9,3050.12,3050.12,3473.07,3473.07,3639.78
china,SZCOMP Index,550.59,1447.03,1447.03,553.3,553.3,1201.34,1201.34,1290.87,1290.87,866.65,866.65,881.17,881.17,1057.67,1057.67,1415.19,1415.19,2308.91,2308.91,1969.11,1969.11,1899.34,1899.34,1267.87,1267.87,1722.95,1722.95,2329.37,2329.37,2530.14
colombia,COLIR Index,,,,476.85,476.85,782.67,782.67,1041.7,1041.7,869.93,869.93,1035.13,1035.13,945.39,945.39,950.43,950.43,730.37,730.37,859.14,859.14,976.21,976.21,857.11,857.11,1075.67,1075.67,940.04,940.04,930.02
colombia,COLEQTY Index,,,,536.91,536.91,878.13,878.13,1171.78,1171.78,981.58,981.58,1121.35,1121.35,1034.66,1034.66,1029.13,1029.13,796.14,796.14,926.02,926.02,1041.95,1041.95,912.34,912.34,1144.63,1144.63,1001.48,1001.48,991.42
colombia,COLSC Index,,,,928.62,928.62,1328.08,1328.08,1564.44,1564.44,1337.03,1337.03,1191.26,1191.26,1143.21,1143.21,1059.49,1059.49,871.5,871.5,999.25,999.25,964.24,964.24,727.53,727.53,978.04,978.04,1058.99,1058.99,973.13
Croatia,CRO Index,3210.73,5239.03,5239.03,1722.25,1722.25,2004.06,2004.06,2110.93,2110.93,1740.21,1740.21,1740.39,1740.39,1794.28,1794.28,1745.44,1745.44,1689.63,1689.63,1994.84,1994.84,1842.87,1842.87,1748.81,1748.81,2017.43,2017.43,1739.29,1739.29,2079.35
cyprus,CYSMMAPA Index,3900.39,4820.72,4820.72,1101.42,1101.42,1597.23,1597.23,1055.21,1055.21,295.94,295.94,114.86,114.86,103.31,103.31,85.7,85.7,67.75,67.75,66.41,66.41,69.5,69.5,66.77,66.77,65.06,65.06,56.62,56.62,68.66
Czech Republic,PX Index,1588.9,1815.1,1815.1,858.2,858.2,1117.3,1117.3,1224.8,1224.8,911.1,911.1,1038.7,1038.7,989.04,989.04,946.71,946.71,956.33,956.33,921.61,921.61,1078.16,1078.16,986.56,986.56,1115.63,1115.63,1027.14,1027.14,1426.03
Denmark,OMXC25 Index,,,,,,,,546,546,430.53,430.53,525.08,525.08,691.73,691.73,809.27,809.27,1037.08,1037.08,1015.88,1015.88,1145.64,1145.64,994.92,994.92,1253.9,1253.9,1676.67,1676.67,1965.65
Denmark,KAX Index,423.43,446.69,446.69,227.98,227.98,301.26,301.26,395.2,395.2,325.19,325.19,403.89,403.89,516.85,516.85,607.63,607.63,785.51,785.51,723.46,723.46,836.35,836.35,751.54,751.54,945.97,945.97,1215.67,1215.67,1480.62
Denmark,KFX Index,441.48,464.14,464.14,247.72,247.72,336.69,336.69,457.58,457.58,389.95,389.95,496.16,496.16,615.5,615.5,744.44,744.44,1014.18,1014.18,883.96,883.96,1024.22,1024.22,891.56,891.56,1135.79,1135.79,1465.17,1465.17,1863.99
Egypt,EGX30 Index,6973.41,10549.74,10549.74,4596.49,4596.49,6208.77,6208.77,7142.14,7142.14,3622.35,3622.35,5462.42,5462.42,6782.84,6782.84,8926.58,8926.58,7006.01,7006.01,12344.89,12344.89,15019.14,15019.14,13035.77,13035.77,13961.56,13961.56,10845.26,10845.26,11949.18
Egypt,HERMES Index,612.91,927.34,927.34,427.18,427.18,573.44,573.44,663.55,663.55,381.61,381.61,551.03,551.03,675.38,675.38,833.85,833.85,630.51,630.51,1088.98,1088.98,1436.98,1436.98,1277.66,1277.66,1282.79,1282.79,1126.97,1126.97,1280.11
Estonia,TALSE Index,856.27,742.45,742.45,274.83,274.83,404.58,404.58,698.38,698.38,531.17,531.17,734.2,734.2,817.72,817.72,755.05,755.05,898.99,898.99,1075.5,1075.5,1242.12,1242.12,1162.86,1162.86,1279.71,1279.71,1343.64,1343.64,2001.03
Finland,HEX Index,9625.37,11598.42,11598.42,5403.52,5403.52,6456.13,6456.13,7661.9,7661.9,5355.06,5355.06,5801.29,5801.29,7336.98,7336.98,7758.51,7758.51,8596.07,8596.07,8901.53,8901.53,9471.56,9471.56,8709.58,8709.58,9874.66,9874.66,10872.05,10872.05,12862.42
Finland,HEXP Index,5397.2,5602.9,5602.9,2798.1,2798.1,3811.4,3811.4,4755.8,4755.8,3424,3424,3753.9,3753.9,4729.1,4729.1,4996.5,4996.5,5582.3,5582.3,6041.5,6041.5,6481,6481,5984.5,5984.5,6867.2,6867.2,7584.8,7584.8,9210.9
Finland,HEX25 Index,2910.49,3010.11,3010.11,1515.65,1515.65,2032.58,2032.58,2628.48,2628.48,1942.06,1942.06,2210.02,2210.02,2835.17,2835.17,2988.08,2988.08,3359.38,3359.38,3680.08,3680.08,3917.97,3917.97,3685.16,3685.16,4221.98,4221.98,4586.15,4586.15,5571.97
France,SBF250 Index,3940.27,3956.31,3956.31,2251.35,2251.35,2789.32,2789.32,2800.66,2800.66,2344.44,2344.44,2728.5,2728.5,3262.93,3262.93,3288.66,3288.66,3596.97,3596.97,3769.25,3769.25,4184.48,4184.48,3684.17,3684.17,4607.88,4607.88,4313.46,4313.46,5441.42
France,PAX Index,5707.4,5886.53,5886.53,3287.59,3287.59,4090.08,4090.08,4147.87,4147.87,3405.76,3405.76,3921.84,3921.84,4780.96,4780.96,4884.43,4884.43,5323,5323,5611.92,5611.92,6423.52,6423.52,5773.75,5773.75,7199.59,7199.59,6979.61,6979.61,8982.02
Germany,DAX Index,6596.92,8067.32,8067.32,4810.2,4810.2,5957.43,5957.43,6914.19,6914.19,5898.35,5898.35,7612.39,7612.39,9552.16,9552.16,9805.55,9805.55,10743.01,10743.01,11481.06,11481.06,12917.64,12917.64,10558.96,10558.96,13249.01,13249.01,13718.78,13718.78,15884.86
Ghana,GGSECI Index,,,,,,,,1000,1000,969.03,969.03,1199.72,1199.72,2145.2,2145.2,2261.02,2261.02,1994.91,1994.91,1689.09,1689.09,2579.72,2579.23,2499.33,2499.33,2257.15,2295.29,1939.14,1939.14,2793.24
Greece,ASE Index,4394.13,5178.83,5178.83,1786.51,1786.51,2196.16,2196.16,1413.94,1413.94,680.42,680.42,907.9,907.9,1162.68,1162.68,826.18,826.18,631.35,631.35,643.64,643.64,802.37,802.37,613.3,613.3,916.67,916.67,808.99,808.99,893.34
Greece,FTASE Index,23771.1,27524.8,27524.8,9325,9325,11253.8,11253.8,6631,6631,2649.1,2649.1,3096.8,3096.8,3848.4,3848.4,2648.6,2648.6,1833.4,1833.4,1740.86,1740.86,2083.22,2083.22,1608.4,1608.4,2298.02,2298.02,1934.64,1934.64,2148.86
Greece,FTSEM Index,5245.31,6264.66,6264.66,1900.59,1900.59,2614.15,2614.15,1498.57,1498.57,639.5,639.5,1133.19,1133.19,1166.81,1166.81,773.03,773.03,816.44,816.44,753.69,753.69,1198.22,1198.22,975.09,975.09,1195.17,1195.17,1107.38,1107.38,1491.91
"Hong kong sar, china",HSI Index,19964.72,27812.65,27812.65,14387.48,14387.48,21872.5,21872.5,23035.45,23035.45,18434.39,18434.39,22656.92,22656.92,23306.39,23306.39,23605.04,23605.04,21914.4,21914.4,22000.56,22000.56,29919.15,29919.15,25845.7,25845.7,28189.75,28189.75,27231.13,27231.13,23397.67
"Hong kong sar, china",HSCI Index,2802.68,3935.37,3935.37,1982.56,1982.56,3052.01,3052.01,3248.17,3248.17,2546.6,2546.6,3113.07,3113.07,3260.66,3260.66,3267.27,3267.27,3021.47,3021.47,2994.61,2994.61,4140.45,4140.45,3449.69,3449.69,3827.55,3827.55,4294.66,4294.66,3626.5
Hungary,CHTX Index,6373.98,6887.84,6887.84,3044.17,3044.17,5287.04,5287.04,4686.32,4686.32,3276.6,3276.6,3697.46,3697.46,3843.53,3843.53,2813.95,2813.95,3495.11,3495.11,4430.09,4430.09,5913.12,5913.12,5085.32,5085.32,5249.33,5249.33,4751.81,4751.81,4940.25
Hungary,BUX Index,24844.32,26235.63,26235.63,12241.69,12241.69,21227.01,21227.01,21327.07,21327.07,16974.24,16974.24,18173.2,18173.2,18564.08,18564.08,16634,16634,23920.65,23920.65,32003.05,32003.05,39377.31,39377.31,39138.95,39138.95,46082.82,46082.82,42047.59,42047.59,50720.71
lceland,ICEXI Index,5857.5,5803.35,5803.35,581.76,581.76,496.48,496.48,569.19,569.19,580.73,580.73,678.15,678.15,864.93,864.93,956.44,956.44,1319.96,1319.96,1232.09,1232.09,1289.95,1289.95,1217.58,1217.58,1516.42,1516.42,1885.57,1885.57,2642.82
india,BSE500 Index,5270.76,8592.43,8660.63,3596.85,3691.75,6842.25,6842.25,7961.06,7961.06,5778.68,5778.68,7581.57,7650.75,7828.34,7839.03,10721.62,10744.62,10634.22,10680.48,11036.44,11036.44,15002.73,14935.58,14540.39,14587.25,15667.44,15694.44,18300.1,18389.08,23811
india,BSE100 Index,4049.88,6469.48,6499.85,2893.06,2969.05,5353.23,5353.23,6191.51,6191.51,4598.21,4598.21,5975.74,6029.23,6326.72,6328.21,8369.27,8378.82,8097.57,8123.19,8386.69,8386.69,11029.78,10960.57,11161.02,11200.61,12236.19,12251.58,14100.47,14149.78,17625.51
india,BSE200 Index,1655.74,2656.52,2672.81,1156.59,1187.19,2180.25,2180.25,2533.9,2533.9,1850.89,1850.89,2424.38,2446.27,2530.58,2532.01,3428.09,3433.21,3377.51,3390.85,3511.05,3511.05,4678.86,4652.8,4653.68,4668.61,5078.44,5085.32,5906.87,5932.14,7536.67
india,NIFTY Index,3966.4,6138.6,6144.35,2959.15,3033.45,5201.05,5201.05,6134.5,6134.5,4624.3,4624.3,5905.1,5950.85,6304,6301.65,8282.7,8284,7946.35,7963.2,8185.8,8185.8,10530.7,10435.55,10862.55,10910.1,12168.45,12182.5,13981.75,14018.5,17354.05
india,SENSEX Index,13786.91,20286.99,20300.71,9647.31,9903.46,17464.81,17464.81,20509.09,20509.09,15454.92,15454.92,19426.71,19580.81,21170.68,21140.48,27499.42,27507.54,26117.54,26160.9,26626.46,26626.46,34056.83,33812.75,36068.33,36254.57,41253.74,41306.02,47751.33,47868.98,58253.82
indonesia,JCI Index,1805.52,2745.83,2745.83,1355.41,1355.41,2534.36,2534.36,3703.51,3703.51,3821.99,3821.99,4316.69,4316.69,4274.18,4274.18,5226.95,5226.95,4593.01,4593.01,5296.71,5296.71,6355.65,6355.65,6194.5,6194.5,6299.54,6299.54,5979.07,5979.07,6581.48
indonesia,LQ45 Index,388.29,599.82,599.82,270.23,270.23,498.29,498.29,661.38,661.38,673.51,673.51,735.04,735.04,711.14,711.14,898.58,898.58,792.03,792.03,884.62,884.62,1079.39,1079.39,982.73,982.73,1014.47,1014.47,934.89,934.89,931.41
Ireland,ISEQ Index,9408.12,6934.35,6934.35,2343.27,2343.27,2974.93,2974.93,2885.1,2885.1,2901.82,2901.82,3396.67,3396.67,4539.43,4539.43,5224.56,5224.56,6791.68,6791.68,6517.24,6517.24,7038.28,7038.28,5479.81,5479.81,7183.41,7183.41,7376.33,7376.33,8444.52
Israel,TA-125 Index,939.99,1154.59,1163.65,564.09,584.81,1064.98,1064.98,1224,1224,978.49,990.37,1049.06,1076.34,1207.69,1219.32,1288.93,1288.01,1315.08,1315.08,1282.37,1276.94,1364.36,1378.25,1333.18,1348.9,1616.7,1623.71,1568.09,1568.09,2056.51
Israel,TA-35 Index,941.13,1217.07,1225.09,654.85,667.39,1145.06,1145.06,1326.44,1326.44,1085.59,1099.19,1185.6,1214.59,1329.39,1339.62,1464.99,1461.97,1528.74,1528.74,1470.78,1459.91,1509.78,1523.24,1463.87,1478.42,1683.29,1685.5,1499.05,1499.05,1978.06
Italy,IT30 Index,4253.99,3963.84,3963.84,2025.11,2025.11,2478.91,2478.91,2199.07,2199.07,1595.36,1595.36,1739.72,1739.72,2015.11,2015.11,2042.71,2042.71,2281.89,2281.89,2013.91,2013.91,2276.49,2276.49,1897.08,1897.08,2426.55,2426.55,2236.93,2236.93,2824.29
Italy,FTSEMIB Index,41434,38554,38554,19460,19460,23248.39,23248.39,20173.29,20173.29,15089.74,15089.74,16273.38,16273.38,18967.71,18967.71,19011.96,19011.96,21418.37,21418.37,19234.58,19234.58,21853.34,21853.34,18324.03,18324.03,23506.37,23506.37,22232.9,22232.9,27346.83
Italy,ITLMS Index,41797.88,38744.89,38744.89,19844.73,19844.73,23652.86,23652.86,20935.64,20935.64,15850.49,15850.49,17175.35,17175.35,20203.72,20203.72,20137.74,20137.74,23235.76,23235.76,20936.48,20936.48,24191.88,24191.88,20148.24,20148.24,25628.94,25628.94,24202.73,24202.73,29941.89
Italy,ITMC Index,45507.49,39067.19,39067.19,20100.49,20100.49,24841.33,24841.33,24113.67,24113.67,17708.11,17708.11,17631.57,17631.57,26242.64,26242.64,25228.74,25228.74,34872.26,34872.26,32098.78,32098.78,42473.97,42473.97,34170.17,34170.17,40422.2,40422.2,38091.63,38091.63,49841.71
Italy,ITSTAR Index,16953,14369,14369,8554,8554,11247.52,11247.52,11576.92,11576.92,9381.59,9381.59,10938.07,10938.07,17030.29,17030.29,18660.05,18660.05,26091.43,26091.43,27184.13,27184.13,36625.24,36625.24,30538.51,30538.51,39102.91,39102.91,44617.15,44617.15,64565.29
japan,TSEMOTHR Index,1110.78,783.18,783.18,323.47,323.47,416.22,416.22,433.63,433.63,396.21,396.21,404.37,404.37,959.33,959.33,909.67,909.67,887.14,887.14,942.68,942.68,1231.99,1231.99,812.32,812.32,897.47,897.47,1196.49,1196.49,987.94
japan,NKY Index,17225.83,15307.78,15307.78,8859.56,8859.56,10546.44,10546.44,10228.92,10228.92,8455.35,8455.35,10395.18,10395.18,16291.31,16291.31,17450.77,17450.77,19033.71,19033.71,19114.37,19114.37,22764.94,22764.94,20014.77,20014.77,23656.62,23656.62,27444.17,27444.17,28791.71
japan,TPX Index,1681.07,1475.68,1475.68,859.24,859.24,907.59,907.59,898.8,898.8,728.61,728.61,859.8,859.8,1302.29,1302.29,1407.51,1407.51,1547.3,1547.3,1518.61,1518.61,1817.56,1817.56,1494.09,1494.09,1721.36,1721.36,1804.68,1804.68,1992.33
japan,TPX100 Index,1222.09,1078.96,1078.96,592.21,592.21,634,634,625.9,625.9,480.23,480.23,574.74,574.74,871.94,871.94,925.57,925.57,996.71,996.71,973.72,973.72,1136.87,1136.87,950.93,950.93,1105.25,1105.25,1172.23,1172.23,1325.68
japan,JPNK400 Index,,,,,,,,,,,,,,11767.24,11767.24,12768.42,12768.42,13951.93,13951.93,13614.8,13614.8,16074.1,16074.1,13253.37,13253.37,15376.38,15376.38,16341.8,16341.8,17990.97
japan,TSEREIT Index,1990.43,1868.57,1868.57,900.36,900.36,893.19,893.19,1130.7,1130.7,834.36,834.36,1114.68,1114.68,1515.01,1515.01,1897.92,1897.92,1747.54,1747.54,1855.83,1855.83,1662.92,1662.92,1774.06,1774.06,2145.49,2145.49,1783.9,1783.9,2066.33
jordan,JOSMGNFF Index,3013.66,3674.96,3674.96,2758.44,2758.44,2533.54,2533.54,2373.58,2373.58,1995.13,1995.13,1957.6,1957.6,2065.83,2065.83,2165.46,2165.46,2136.32,2136.32,2170.29,2170.29,2126.78,2126.78,1908.81,1908.81,1815.2,1815.2,1657.22,1657.22,2118.65
kazakhstan,KZKAK Index,2418.08,2637.02,2637.02,982.77,982.77,1768.26,1768.26,1718.09,1718.09,1105.58,1105.58,969.7,969.7,918.01,918.01,941.86,941.86,858.79,858.79,1357.87,1357.87,2162.69,2162.69,2304.94,2304.94,2363.79,2363.79,2675.58,2675.58,3675.28
kenya,NSEASI Index,,,,73.37,73.37,71.64,71.64,97.83,97.83,68.04,68.04,94.86,94.86,136.65,136.65,162.89,162.89,145.7,145.7,133.34,133.34,171.2,171.2,140.43,140.43,166.41,166.41,152.11,152.11,166.46
kenya,KNSMIDX Index,5645.65,5444.83,5444.83,3521.18,3521.18,3247.77,3247.77,4432.6,4432.6,3205.02,3205.02,4133.02,4133.02,4926.97,4926.97,5112.65,5112.65,4040.75,4040.75,3186.21,3186.21,3711.94,3711.94,2833.84,2833.84,2654.39,2654.39,1868.39,1868.39,1902.57
latvia,RIGSE Index,655.54,595.3,595.3,271.29,271.29,278.94,278.94,393.53,393.53,371.16,371.16,395.91,395.91,460.13,460.13,408.03,408.03,594.35,594.35,733.77,733.77,996.13,996.13,929.02,929.02,1036.15,1036.15,1136.34,1136.34,1274.2
lebanon,BLOM Index,1185.01,1501.77,1501.77,1178.25,1178.25,1565.77,1565.77,1475.57,1475.57,1176.7,1176.7,1169.14,1169.14,1150.1,1150.1,1170.26,1170.26,1169.52,1169.52,1211.76,1211.76,1148.57,1148.57,976.75,976.75,785.56,785.56,657.89,657.89,1029.36
lithuania,VILSE Index,492.65,514.23,514.23,179.25,179.25,261.77,261.77,409.65,409.65,298.78,298.78,355.08,355.08,421.6,421.6,452.42,452.42,485.99,485.99,558.5,558.5,653.29,653.29,616.9,616.9,712.14,712.14,816.64,816.64,966.13
Luxembourg,Luxxx index,2176.92,2419.28,2419.28,980.91,980.91,1371.47,1371.47,1542.12,1542.12,1135.1,1135.1,1248,1248,1448.94,1448.94,1520.37,1520.37,1390.72,1390.72,1669.07,1669.07,1638.41,1638.41,1316.94,1316.94,1378.43,1378.43,1345.6,1345.6,1662.22
Luxembourg,Luxxr index,2573.16,2905.97,2905.97,1214.89,1214.89,1740.99,1740.99,2019.25,2019.25,1526.16,1526.16,1734.74,1734.74,2101.83,2101.83,2257.91,2257.91,2110.37,2110.37,2593.4,2593.4,2614.9,2614.9,2168.09,2168.09,2343.39,2343.39,2343.05,2343.05,2974.04
Malaysia,FBMEMAS Index,7169.59,9810.83,9810.83,5726.46,5726.46,8507.61,8507.61,10374.98,10374.98,10489.07,10489.07,11438.14,11438.14,12853.63,12853.63,12066.28,12066.28,11793.65,11793.65,11466.54,11466.54,12942.57,12942.57,11527.51,11527.51,11323.49,11323.49,11761.93,11761.93,11308.79
Malaysia,FBMKLCI Index,1096.24,1445.03,1445.03,876.75,876.75,1272.78,1272.78,1518.91,1518.91,1530.73,1530.73,1688.95,1688.95,1866.96,1866.96,1761.25,1761.25,1692.51,1692.51,1641.73,1641.73,1796.81,1796.81,1690.58,1690.58,1588.76,1588.76,1627.21,1627.21,1567.53
mexico,MEXBOL Index,26448.32,29536.83,29536.83,22380.32,22380.32,32120.47,32120.47,38550.79,38550.79,37077.52,37077.52,43705.83,43705.83,42727.09,42727.09,43145.66,43145.66,42977.5,42977.5,45642.9,45642.9,49354.42,49354.42,41640.27,41640.27,43541.02,43541.02,44066.88,44066.88,53272.43
mexico,IRT Index,28872.03,32963.78,32963.78,25535.78,25535.78,37325.45,37325.45,45390.19,45390.19,44409.91,44409.91,53162.78,53162.78,53151.13,53151.13,54209.65,54209.65,55001.82,55001.82,59483.27,59483.27,65724.81,65724.81,56770.82,56770.82,61266.94,61266.94,63321.41,63321.41,78761.17
mexico,INMEX Index,1532.73,1668.35,1668.35,1221.9,1221.9,1908.11,1908.11,2276.04,2276.04,2037.62,2037.62,2501.37,2501.37,2482.72,2482.72,2530.01,2530.01,2500.03,2500.03,2688.82,2688.82,2968.59,2968.59,2469.27,2469.27,2557.34,2557.34,2684.66,2684.66,3296.11
mongolia,MSETOP Index,2076.62,10170.65,10170.65,5583.22,5583.22,6189.91,6189.91,14759.8,14759.8,21687.6,21687.6,17609.14,17609.14,16301.81,16301.81,14854.24,14854.24,12897.59,12897.59,12456.06,12456.06,20736.93,20736.93,21466.76,21466.76,19621.86,19621.86,19285.8,19285.8,44411.6
morocco,MCSINDEX SWFS Index,20357.47,25631.19,25631.19,22940.29,22940.29,21701.32,21701.32,26191.78,26191.78,22680.55,22680.55,19143.04,19143.04,18817.59,18817.59,20235.75,20235.75,19001.83,19001.83,24464.24,24464.24,25864.08,25864.08,23804.34,23804.34,25377.37,25377.37,23313.59,23313.59,27096.15
netherlands,AEX Index,495.34,515.77,515.77,245.94,245.94,335.33,335.33,354.57,354.57,312.47,312.47,342.71,342.71,401.79,401.79,424.47,424.47,441.82,441.82,483.17,483.17,544.58,544.58,487.88,487.88,604.58,604.58,624.61,624.61,797.93
netherlands,AMX Index,678.26,657.04,657.04,312.16,312.16,510.82,510.82,638.82,638.82,467.91,467.91,534.06,534.06,629.11,629.11,636.38,636.38,698.03,698.03,687.25,687.25,834.76,834.76,657.58,657.58,910.47,910.47,934.6,934.6,1081.17
new zealand,NZSE Index,1150.02,1094.22,1094.22,684.91,684.91,773.04,773.04,756.58,756.58,729.8,729.8,882.05,882.05,998.9,998.9,1121.57,1121.57,1217.43,1217.43,1281.39,1281.39,1510.81,1510.81,1531.03,1531.03,1923.78,1923.78,2155.4,2155.4,2105.67
nigeria,NGSEINDX Index,33189.3,57990.22,57990.22,31446.96,31446.96,20827.17,20827.17,24770.52,24770.52,20730.63,20730.63,28078.81,28078.81,41329.19,41329.19,34657.15,34657.15,28642.25,28642.25,26874.62,26874.62,38243.19,38243.19,31430.5,31430.5,26842.07,26842.07,40270.72,40270.72,42716.44
norway,OBX Index,371.37,422.08,422.08,199.13,199.13,339.32,339.32,400.4,400.4,357.6,357.6,410.3,410.3,503.58,503.58,523.68,523.68,538.98,538.98,617.75,617.75,742.8,742.8,739.42,739.42,843.35,843.35,858.86,858.86,1068.63
norway,OSEBX Index,440.36,490.81,490.81,225.48,225.48,371.56,371.56,439.72,439.72,384.95,384.95,444.09,444.09,548.86,548.86,576.04,576.04,610.26,610.26,683.87,683.87,814.45,814.45,799.46,799.46,931.45,931.45,973.97,973.97,1201.43
