country,name,1/1/2007,31/12/2007,1/1/2008,31/12/2008,1/1/2009,31/12/2009,1/1/2010,31/12/2010,1/1/2011,31/12/2011,1/1/2012,31/12/2012,1/1/2013,31/12/2013,1/1/2014,31/12/2014,1/1/2015,31/12/2015,1/1/2016,31/12/2016,1/1/2017,31/12/2017,1/1/2018,31/12/2018,1/1/2019,31/12/2019,1/1/2020,31/12/2020,1/1/2021,31/12/2021
singapore,STI Index,2918.63,3465.63,3465.63,1761.56,1761.56,2897.62,2897.62,3190.04,3190.04,2646.35,2646.35,3167.08,3167.08,3167.43,3167.43,3365.15,3365.15,2882.73,2882.73,2880.76,2880.76,3402.92,3402.92,3068.76,3068.76,3222.83,3222.83,2843.81,2843.81,3123.68
singapore,FSTAS Index,769.95,908.09,908.09,422.59,422.59,715.02,715.02,792.83,792.83,635.25,635.25,776.18,776.18,768.32,768.32,805.15,805.15,694.98,694.98,705.08,705.08,829.64,829.64,743.21,743.21,792.61,792.61,700.58,700.58,768.45
slovak,SKSM Index,415.61,445.65,445.65,359.18,359.18,266.97,266.97,230.38,230.38,215.45,215.45,192.21,192.21,197.76,197.76,222.32,222.32,292.35,292.35,318.57,318.57,325.62,325.62,332.37,332.37,351.14,351.14,345.13,345.13,397.34
slovenia,SBITOP Index,1473.33,2518.92,2518.92,854.26,854.26,982.67,982.67,850.35,850.35,589.58,589.58,635.51,635.51,655.66,655.66,784.12,784.12,696.15,696.15,717.59,717.59,806.52,806.52,805.06,805.06,926.1,926.1,900.37,900.37,1258.8
south africa,JALSH Index,24915.2,28957.97,28957.97,21509.2,21509.2,27666.45,27666.45,32118.89,32118.89,31985.67,31985.67,39250.24,39250.24,46256.23,46256.23,49770.6,49770.6,50693.76,50693.76,50653.54,50653.54,59504.67,59504.67,52736.86,52736.86,57084.1,57084.1,59408.68,59408.68,73709.39
south africa,TOP40 Index,22607.16,26250.29,26250.29,19444.4,19444.4,24996.97,24996.97,28639.4,28639.4,28469.81,28469.81,34795.5,34795.5,41482.39,41482.39,43969.96,43969.96,45797.3,45797.3,43901.99,43901.99,52533.04,52533.04,46726.59,46726.59,50816.05,50816.05,54379.58,54379.58,67052.4
south africa,INDI25 Index,17825.64,20565.98,20565.98,16926.94,16926.94,21617.21,21617.21,26792.62,26792.62,28759.64,28759.64,40402.79,40402.79,54481.85,54481.85,62352.98,62352.98,71755.07,71755.07,64282.51,64282.51,79085.48,79085.48,63684.35,63684.35,69303.71,69303.71,77900.52,77900.52,95457.11
south korea,KOSDAQ Index,606.15,704.23,704.23,332.05,332.05,513.57,513.57,510.69,510.69,500.18,500.18,496.32,496.32,499.99,499.99,542.97,542.97,682.35,682.35,631.44,631.44,798.42,798.42,675.65,675.65,669.83,669.83,968.42,968.42,1033.98
south korea,KRX100 Index,2954.89,3864.01,3864.01,2373.06,2373.06,3578.76,3578.76,4386.97,4386.97,3879.12,3879.12,4266.15,4266.15,4358,4358,3942.92,3942.92,3872.49,3872.49,4079,4079,5155.01,5155.01,4209.6,4209.6,4750.22,4750.22,6224.37,6224.37,6207.79
south korea,KOSPI Index,1434.46,1897.13,1897.13,1124.47,1124.47,1682.77,1682.77,2051,2051,1825.74,1825.74,1997.05,1997.05,2011.34,2011.34,1915.59,1915.59,1961.31,1961.31,2026.46,2026.46,2467.49,2467.49,2041.04,2041.04,2197.67,2197.67,2873.47,2873.47,2977.65
spain,IBEX Index,14146.5,15182.3,15182.3,9195.8,9195.8,11940,11940,9859.1,9859.1,8566.3,8566.3,8167.5,8167.5,9916.7,9916.7,10279.5,10279.5,9544.2,9544.2,9352.1,9352.1,10043.9,10043.9,8539.9,8539.9,9549.2,9549.2,8073.7,8073.7,8713.8
spain,ES30 Index,679.7,724.13,724.13,449.78,449.78,527.52,527.52,456.56,456.56,424.28,424.28,418.43,418.43,532.09,532.09,573.08,573.08,551.62,551.62,541.81,541.81,582.61,582.61,506.51,506.51,566.87,566.87,472.88,472.88,518.66
sri lanka,CSEALL Index,2722.36,2540.99,2540.99,1503.02,1503.02,3385.55,3385.55,6635.87,6635.87,6074.42,6074.42,5643,5643,5912.78,5912.78,7298.95,7298.95,6894.5,6894.5,6228.26,6228.26,6369.26,6369.26,6052.37,6052.37,6129.21,6129.21,6774.22,6774.22,12226.01
sweden,SE30 Index,781.31,744.52,744.52,439.55,439.55,653.59,653.59,809.95,809.95,683.78,683.78,778.44,778.44,943.21,943.21,1036.01,1036.01,1042.33,1042.33,1112.63,1112.63,1183.18,1183.18,1071.55,1071.55,1369.4,1369.4,1494.7,1494.7,1951.63
sweden,OMX Index,1147.27,1081.44,1081.44,662.33,662.33,951.72,951.72,1155.57,1155.57,987.85,987.85,1104.73,1104.73,1332.95,1332.95,1464.55,1464.55,1446.82,1446.82,1517.2,1517.2,1576.94,1576.94,1408.74,1408.74,1771.85,1771.85,1874.74,1874.74,2419.73
sweden,SBX Index,465.12,447.38,447.38,276.98,276.98,411.96,411.96,519.33,519.33,451.07,451.07,525.6,525.6,660.12,660.12,759.45,759.45,806.03,806.03,879.92,879.92,968.31,968.31,923.42,923.42,1213.87,1213.87,1368.77,1368.77,1870.91
sweden,SAX Index,374.47,351.84,351.84,204.22,204.22,299.5,299.5,368.54,368.54,307.04,307.04,343.94,343.94,423.66,423.66,473.89,473.89,505.13,505.13,534.56,534.56,568.8,568.8,525.16,525.16,680.81,680.81,768.38,768.38,1037.14
sweden,OMXO20 Index,403.64,452.64,452.64,209.89,209.89,338.98,338.98,388.62,388.62,333.9,333.9,369.44,369.44,435.2,435.2,440.21,440.21,441.69,441.69,484.33,484.33,565.66,565.66,549.4,549.4,594.73,594.73,573.88,573.88,692.94
switzerland,SMI Index,8785.74,8484.46,8484.46,5534.53,5534.53,6545.91,6545.91,6436.04,6436.04,5936.23,5936.23,6822.44,6822.44,8202.98,8202.98,8983.37,8983.37,8818.09,8818.09,8219.87,8219.87,9381.87,9381.87,8429.3,8429.3,10616.94,10616.94,10703.51,10703.51,12875.66
tunisia,TUSISE Index,2331.05,2614.07,2614.07,2892.4,2892.4,4291.72,4291.72,5112.52,5112.52,4722.25,4722.25,4579.85,4579.85,4381.32,4381.32,5089.99,5089.99,5042.16,5042.16,5488.77,5488.77,6281.83,6281.83,7271.65,7271.65,7122.09,7122.09,6884.93,6884.93,7046.01
turkiye,XU100 Index,391.17,555.38,555.38,268.64,268.64,528.25,528.25,660.04,660.04,512.67,512.67,782.08,782.08,678.02,678.02,857.21,857.21,717.27,717.27,781.39,781.39,1153.33,1153.33,912.7,912.7,1144.25,1144.25,1476.72,1476.72,1857.65
turkiye,XU030 Index,485.51,704.57,704.57,350.02,350.02,669.92,669.92,813.38,813.38,616.98,616.98,977.28,977.28,824.48,824.48,1061.5,1061.5,874.28,874.28,954.99,954.99,1421.12,1421.12,1143.43,1143.43,1388.3,1388.3,1635.97,1635.97,2025.03
turkiye,TR20I Index,382.1,545.22,545.22,287.37,287.37,551.78,551.78,674.82,674.82,522.16,522.16,798.61,798.61,686.76,686.76,876.49,876.49,725.72,725.72,808.19,808.19,1171.1,1171.1,917.65,917.65,1113.74,1113.74,1308.96,1308.96,1640.74
united arab emirates,DFMGI Index,4127.33,5931.95,5931.95,1636.29,1636.29,1803.58,1803.58,1630.52,1630.52,1353.39,1353.39,1622.53,1622.53,3369.81,3369.81,3774,3774,3151,3151,3530.88,3530.88,3370.07,3370.07,2529.75,2529.75,2764.86,2764.86,2491.97,2491.97,3195.91
united arab emirates,DUAE Index,3033.7,4585.35,4585.35,1248.4,1248.4,1851.35,1851.35,1800.58,1800.58,1374.39,1374.41,1819.83,1819.83,3396.97,3396.97,3776.08,3776.08,3063.35,3063.35,3293.85,3293.85,3288.69,3288.69,3074.32,3074.32,3184.38,3184.38,3061.74,3061.74,4284.75
ukraine,PFTS Index,498.86,1174.02,1174.02,301.42,301.42,572.91,572.91,975.08,975.08,534.43,534.43,328.69,328.69,300.53,300.53,386.92,386.92,240.7,240.7,265.15,265.15,315.06,315.06,559.36,559.36,509.65,509.65,499.75,499.75,522.77
united kingdom,ASX Index,3221.42,3286.67,3286.67,2209.29,2209.29,2760.8,2760.8,3062.85,3062.85,2857.88,2857.88,3093.41,3093.41,3609.63,3609.63,3532.74,3532.74,3444.26,3444.26,3873.22,3873.22,4221.82,4221.82,3675.06,3675.06,4196.47,4196.47,3673.63,3673.63,4208.02
united kingdom,SMX Index,3905.6,3420.3,3420.3,1854.22,1854.22,2776.92,2776.92,3228.61,3228.61,2748.77,2748.77,3419.07,3419.07,4431.11,4431.11,4365.92,4365.92,4634.66,4634.66,5143.22,5143.22,5911.89,5911.89,5177.21,5177.21,5950.49,5950.49,6215.49,6215.49,7459.43
United States,CCMP Index,2415.29,2652.28,2652.28,1577.03,1577.03,2269.15,2269.15,2652.87,2652.87,2605.15,2605.15,3019.51,3019.51,4176.59,4176.59,4736.05,4736.05,5007.41,5007.41,5383.12,5383.12,6903.39,6903.39,6635.28,6635.28,8972.6,8972.6,12888.28,12888.28,15644.97
United States,SPX Index,1418.3,1468.36,1468.36,903.25,903.25,1115.1,1115.1,1257.64,1257.64,1257.61,1257.61,1426.19,1426.19,1848.36,1848.36,2058.9,2058.9,2043.94,2043.94,2238.83,2238.83,2673.61,2673.61,2506.85,2506.85,3230.78,3230.78,3756.07,3756.07,4766.18
vietnam,VHINDEX Index,242.89,323.55,323.55,105.12,105.12,168.17,168.17,114.24,114.24,58.74,58.74,57.09,57.09,67.84,67.84,82.85,82.85,79.96,79.96,80.12,80.12,116.86,116.86,104.23,104.23,102.51,102.51,203.12,203.12,473.99
vietnam,VNINDEX Index,751.77,927.02,927.02,315.62,315.62,494.77,494.77,484.66,484.66,351.55,351.55,413.73,413.73,504.63,504.63,545.63,545.63,579.03,579.03,664.87,664.87,984.24,984.24,892.54,892.54,960.99,960.99,1103.87,1103.87,1498.28
